side,ticker,pattern,fwd_days,n,mean_ret,median,win_rate
buy,ABBV,E_FVG1_Fx,30,0,,,
buy,ABBV,FVG1_R,30,1,15.55270780212166,15.55270780212166,100.0
sell,ABBV,baseline,30,32,3.2219966608525343,3.5740684674981553,71.875
sell,ABBV,E,30,7,6.845899884384574,7.868564612935916,71.42857142857143
sell,ABBV,E_R,30,3,12.170340657167914,14.673002302962693,100.0
sell,ABBV,FVG1,30,1,14.673002302962693,14.673002302962693,100.0
sell,ABBV,E_FVG1,30,1,14.673002302962693,14.673002302962693,100.0
sell,ABBV,E_FVG5,30,1,14.673002302962693,14.673002302962693,100.0
sell,ABBV,E_Fext,30,0,,,
sell,ABBV,E_OB,30,4,5.064158886980984,6.242018659855311,75.0
sell,ABBV,E_R_FVG1,30,1,14.673002302962693,14.673002302962693,100.0
sell,ABBV,E_R_FVG5,30,1,14.673002302962693,14.673002302962693,100.0
sell,ABBV,E_Q_FVG1,30,0,,,
sell,ABBV,E_FVG1_Fx,30,0,,,
sell,ABBV,FVG1_R,30,1,14.673002302962693,14.673002302962693,100.0
buy,ABBV,baseline,60,29,11.285299469087182,11.70894360298328,79.3103448275862
buy,ABBV,E,60,2,16.051779661850127,16.051779661850127,100.0
buy,ABBV,E_R,60,0,,,
buy,ABBV,FVG1,60,3,16.05778657977333,16.544644162335427,100.0
buy,ABBV,E_FVG1,60,0,,,
buy,ABBV,E_FVG5,60,0,,,
buy,ABBV,E_Fext,60,0,,,
buy,ABBV,E_OB,60,0,,,
buy,ABBV,E_R_FVG1,60,0,,,
buy,ABBV,E_R_FVG5,60,0,,,
buy,ABBV,E_Q_FVG1,60,0,,,
buy,ABBV,E_FVG1_Fx,60,0,,,
buy,ABBV,FVG1_R,60,1,16.544644162335427,16.544644162335427,100.0
sell,ABBV,baseline,60,32,0.5867679860242097,4.651465785651901,62.5
sell,ABBV,E,60,7,3.0373797190296163,5.357152313915934,71.42857142857143
sell,ABBV,E_R,60,3,5.014730527994855,11.865655931867373,66.66666666666666
sell,ABBV,FVG1,60,1,12.384609703117192,12.384609703117192,100.0
sell,ABBV,E_FVG1,60,1,12.384609703117192,12.384609703117192,100.0
sell,ABBV,E_FVG5,60,1,12.384609703117192,12.384609703117192,100.0
sell,ABBV,E_Fext,60,0,,,
sell,ABBV,E_OB,60,4,-3.689106083322025,-3.026591457760757,50.0
sell,ABBV,E_R_FVG1,60,1,12.384609703117192,12.384609703117192,100.0
sell,ABBV,E_R_FVG5,60,1,12.384609703117192,12.384609703117192,100.0
sell,ABBV,E_Q_FVG1,60,0,,,
sell,ABBV,E_FVG1_Fx,60,0,,,
sell,ABBV,FVG1_R,60,1,12.384609703117192,12.384609703117192,100.0
buy,ABNB,baseline,20,35,9.29077227956258,7.582402666762311,85.71428571428571
buy,ABNB,E,20,0,,,
buy,ABNB,E_R,20,0,,,
buy,ABNB,FVG1,20,4,14.505070085219868,13.686004736360417,75.0
buy,ABNB,E_FVG1,20,0,,,
buy,ABNB,E_FVG5,20,0,,,
buy,ABNB,E_Fext,20,0,,,
buy,ABNB,E_OB,20,0,,,
buy,ABNB,E_R_FVG1,20,0,,,
buy,ABNB,E_R_FVG5,20,0,,,
buy,ABNB,E_Q_FVG1,20,0,,,
buy,ABNB,E_FVG1_Fx,20,0,,,
buy,ABNB,FVG1_R,20,0,,,
sell,ABNB,baseline,20,29,10.271139788869657,9.576259641045729,96.55172413793103
sell,ABNB,E,20,5,11.950656098979733,9.855099468711648,100.0
sell,ABNB,E_R,20,3,14.269062469478115,15.58615325386892,100.0
sell,ABNB,FVG1,20,1,15.256058615989945,15.256058615989945,100.0
sell,ABNB,E_FVG1,20,0,,,
sell,ABNB,E_FVG5,20,0,,,
sell,ABNB,E_Fext,20,0,,,
sell,ABNB,E_OB,20,1,15.58615325386892,15.58615325386892,100.0
sell,ABNB,E_R_FVG1,20,0,,,
sell,ABNB,E_R_FVG5,20,0,,,
sell,ABNB,E_Q_FVG1,20,0,,,
sell,ABNB,E_FVG1_Fx,20,0,,,
sell,ABNB,FVG1_R,20,1,15.256058615989945,15.256058615989945,100.0
buy,ABNB,baseline,30,35,8.443390573648374,4.395601702535151,74.28571428571429
buy,ABNB,E,30,0,,,
buy,ABNB,E_R,30,0,,,
buy,ABNB,FVG1,30,4,19.328250137484645,22.953804732452166,75.0
buy,ABNB,E_FVG1,30,0,,,
buy,ABNB,E_FVG5,30,0,,,
buy,ABNB,E_Fext,30,0,,,
buy,ABNB,E_OB,30,0,,,
buy,ABNB,E_R_FVG1,30,0,,,
buy,ABNB,E_R_FVG5,30,0,,,
buy,ABNB,E_Q_FVG1,30,0,,,
buy,ABNB,E_FVG1_Fx,30,0,,,
buy,ABNB,FVG1_R,30,0,,,
sell,ABNB,baseline,30,29,9.597089056325345,8.940472135204118,89.65517241379311
sell,ABNB,E,30,5,9.660630311956035,8.929896749236905,80.0
sell,ABNB,E_R,30,3,8.821753284528603,7.972570151882344,66.66666666666666
sell,ABNB,FVG1,30,1,10.773201004396507,10.773201004396507,100.0
sell,ABNB,E_FVG1,30,0,,,
sell,ABNB,E_FVG5,30,0,,,
sell,ABNB,E_Fext,30,0,,,
sell,ABNB,E_OB,30,1,7.972570151882344,7.972570151882344,100.0
sell,ABNB,E_R_FVG1,30,0,,,
sell,ABNB,E_R_FVG5,30,0,,,
sell,ABNB,E_Q_FVG1,30,0,,,
sell,ABNB,E_FVG1_Fx,30,0,,,
sell,ABNB,FVG1_R,30,1,10.773201004396507,10.773201004396507,100.0
buy,ABNB,baseline,60,35,7.88022160048342,5.203924172258806,65.71428571428571
buy,ABNB,E,60,0,,,
buy,ABNB,E_R,60,0,,,
buy,ABNB,FVG1,60,4,21.528837671825677,17.578611022777444,100.0
buy,ABNB,E_FVG1,60,0,,,
buy,ABNB,E_FVG5,60,0,,,
buy,ABNB,E_Fext,60,0,,,
buy,ABNB,E_OB,60,0,,,
buy,ABNB,E_R_FVG1,60,0,,,
buy,ABNB,E_R_FVG5,60,0,,,
buy,ABNB,E_Q_FVG1,60,0,,,
buy,ABNB,E_FVG1_Fx,60,0,,,
buy,ABNB,FVG1_R,60,0,,,
sell,ABNB,baseline,60,29,11.927561792446499,11.191693637712037,72.41379310344827
sell,ABNB,E,60,5,12.248983351401325,10.042741591461622,80.0
sell,ABNB,E_R,60,3,13.878495231233769,17.016557416705727,66.66666666666666
sell,ABNB,FVG1,60,1,24.128532370861468,24.128532370861468,100.0
sell,ABNB,E_FVG1,60,0,,,
sell,ABNB,E_FVG5,60,0,,,
sell,ABNB,E_Fext,60,0,,,
sell,ABNB,E_OB,60,1,34.92820545145258,34.92820545145258,100.0
sell,ABNB,E_R_FVG1,60,0,,,
sell,ABNB,E_R_FVG5,60,0,,,
sell,ABNB,E_Q_FVG1,60,0,,,
sell,ABNB,E_FVG1_Fx,60,0,,,
sell,ABNB,FVG1_R,60,1,24.128532370861468,24.128532370861468,100.0
buy,ABT,baseline,20,34,5.045662906141322,4.826362764023615,85.29411764705883
buy,ABT,E,20,7,7.554495342744912,7.9216735197588095,85.71428571428571
buy,ABT,E_R,20,3,5.532962290324149,6.137200148981063,100.0
buy,ABT,FVG1,20,3,5.17734808817577,5.315640197420307,100.0
buy,ABT,E_FVG1,20,0,,,
buy,ABT,E_FVG5,20,0,,,
buy,ABT,E_Fext,20,1,-1.1243457967291945,-1.1243457967291945,0.0
buy,ABT,E_OB,20,2,13.272264374455784,13.272264374455784,100.0
buy,ABT,E_R_FVG1,20,0,,,
buy,ABT,E_R_FVG5,20,0,,,
buy,ABT,E_Q_FVG1,20,0,,,
buy,ABT,E_FVG1_Fx,20,0,,,
buy,ABT,FVG1_R,20,1,3.725486609668635,3.725486609668635,100.0
sell,ABT,baseline,20,33,3.811054938194649,3.0902194797265032,84.84848484848484
sell,ABT,E,20,5,3.635771444293961,1.752739133999966,100.0
sell,ABT,E_R,20,3,5.320851155308883,5.578862243682827,100.0
sell,ABT,FVG1,20,1,5.398668278751062,5.398668278751062,100.0
sell,ABT,E_FVG1,20,0,,,
sell,ABT,E_FVG5,20,1,8.630952088243857,8.630952088243857,100.0
sell,ABT,E_Fext,20,1,0.5929090590869662,0.5929090590869662,100.0
sell,ABT,E_OB,20,3,2.9849986913796602,1.752739133999966,100.0
sell,ABT,E_R_FVG1,20,0,,,
sell,ABT,E_R_FVG5,20,1,8.630952088243857,8.630952088243857,100.0
sell,ABT,E_Q_FVG1,20,0,,,
sell,ABT,E_FVG1_Fx,20,0,,,
sell,ABT,FVG1_R,20,1,5.398668278751062,5.398668278751062,100.0
buy,ABT,baseline,30,34,5.286617963933383,4.225197975791469,76.47058823529412
buy,ABT,E,30,7,7.82228358931575,4.527078102582092,85.71428571428571
buy,ABT,E_R,30,3,6.162754999443487,4.527078102582092,100.0
buy,ABT,FVG1,30,3,8.415285989230654,7.775823006488267,100.0
buy,ABT,E_FVG1,30,0,,,
buy,ABT,E_FVG5,30,0,,,
buy,ABT,E_Fext,30,1,-2.5568416634479103,-2.5568416634479103,0.0
buy,ABT,E_OB,30,2,13.071720057704479,13.071720057704479,100.0
buy,ABT,E_R_FVG1,30,0,,,
buy,ABT,E_R_FVG5,30,0,,,
buy,ABT,E_Q_FVG1,30,0,,,
buy,ABT,E_FVG1_Fx,30,0,,,
buy,ABT,FVG1_R,30,1,14.059222779985179,14.059222779985179,100.0
sell,ABT,baseline,30,33,4.443659763288701,4.985290955063889,78.78787878787878
sell,ABT,E,30,5,3.893348848875447,3.6832788191298005,60.0
sell,ABT,E_R,30,3,6.816069942550095,11.0441281637657,66.66666666666666
sell,ABT,FVG1,30,1,8.74340896427421,8.74340896427421,100.0
sell,ABT,E_FVG1,30,0,,,
sell,ABT,E_FVG5,30,1,11.0441281637657,11.0441281637657,100.0
sell,ABT,E_Fext,30,1,-4.66474440240285,-4.66474440240285,0.0
sell,ABT,E_OB,30,3,4.362453494338128,3.6832788191298005,66.66666666666666
sell,ABT,E_R_FVG1,30,0,,,
sell,ABT,E_R_FVG5,30,1,11.0441281637657,11.0441281637657,100.0
sell,ABT,E_Q_FVG1,30,0,,,
sell,ABT,E_FVG1_Fx,30,0,,,
sell,ABT,FVG1_R,30,1,8.74340896427421,8.74340896427421,100.0
buy,ABT,baseline,60,34,3.36559582288262,2.0932887936528646,61.76470588235294
buy,ABT,E,60,7,5.213138563788479,2.6366266055890044,71.42857142857143
buy,ABT,E_R,60,3,3.9117294138586147,2.6366266055890044,66.66666666666666
buy,ABT,FVG1,60,3,10.863179169277805,4.154441755629315,100.0
buy,ABT,E_FVG1,60,0,,,
buy,ABT,E_FVG5,60,0,,,
buy,ABT,E_Fext,60,1,0.03901606264135863,0.03901606264135863,100.0
buy,ABT,E_OB,60,2,4.339491893920439,4.339491893920439,50.0
buy,ABT,E_R_FVG1,60,0,,,
buy,ABT,E_R_FVG5,60,0,,,
buy,ABT,E_Q_FVG1,60,0,,,
buy,ABT,E_FVG1_Fx,60,0,,,
buy,ABT,FVG1_R,60,1,24.99169187379988,24.99169187379988,100.0
sell,ABT,baseline,60,33,6.362303354058033,6.730989098614009,81.81818181818183
sell,ABT,E,60,5,6.953894021407223,10.801328625809205,80.0
sell,ABT,E_R,60,3,5.418253283095377,10.801328625809205,66.66666666666666
sell,ABT,FVG1,60,1,5.411816537227642,5.411816537227642,100.0
sell,ABT,E_FVG1,60,0,,,
sell,ABT,E_FVG5,60,1,14.068320377024298,14.068320377024298,100.0
sell,ABT,E_Fext,60,1,4.305856737720175,4.305856737720175,100.0
sell,ABT,E_OB,60,3,5.465097664097212,10.801328625809205,66.66666666666666
sell,ABT,E_R_FVG1,60,0,,,
sell,ABT,E_R_FVG5,60,1,14.068320377024298,14.068320377024298,100.0
sell,ABT,E_Q_FVG1,60,0,,,
sell,ABT,E_FVG1_Fx,60,0,,,
sell,ABT,FVG1_R,60,1,5.411816537227642,5.411816537227642,100.0
buy,ACGL,baseline,20,34,7.057463059129025,7.137982039953503,94.11764705882352
buy,ACGL,E,20,5,7.519337129685516,6.9321532614249195,100.0
buy,ACGL,E_R,20,3,5.919841302685434,6.9321532614249195,100.0
buy,ACGL,FVG1,20,5,5.55026278887506,6.95524544315463,100.0
buy,ACGL,E_FVG1,20,1,1.4306320746622878,1.4306320746622878,100.0
buy,ACGL,E_FVG5,20,1,1.4306320746622878,1.4306320746622878,100.0
buy,ACGL,E_Fext,20,0,,,
buy,ACGL,E_OB,20,2,4.8279697323752915,4.8279697323752915,100.0
buy,ACGL,E_R_FVG1,20,0,,,
buy,ACGL,E_R_FVG5,20,0,,,
buy,ACGL,E_Q_FVG1,20,0,,,
buy,ACGL,E_FVG1_Fx,20,0,,,
buy,ACGL,FVG1_R,20,2,8.664485746742205,8.664485746742205,100.0
sell,ACGL,baseline,20,30,4.229218337666789,5.154224098613847,86.66666666666667
sell,ACGL,E,20,8,7.237272671780448,6.724129056097369,100.0
sell,ACGL,E_R,20,2,2.5087722436626265,2.5087722436626265,100.0
sell,ACGL,FVG1,20,1,-5.524678649568247,-5.524678649568247,0.0
sell,ACGL,E_FVG1,20,0,,,
sell,ACGL,E_FVG5,20,1,4.309615054720502,4.309615054720502,100.0
sell,ACGL,E_Fext,20,2,6.427323801056183,6.427323801056183,100.0
sell,ACGL,E_OB,20,5,5.728190683656163,6.437157802894468,100.0
sell,ACGL,E_R_FVG1,20,0,,,
sell,ACGL,E_R_FVG5,20,1,4.309615054720502,4.309615054720502,100.0
sell,ACGL,E_Q_FVG1,20,0,,,
sell,ACGL,E_FVG1_Fx,20,0,,,
sell,ACGL,FVG1_R,20,0,,,
buy,ACGL,baseline,30,34,7.384864718860763,7.4518587339364615,82.35294117647058
buy,ACGL,E,30,5,10.709016305655119,3.2974368452848526,80.0
buy,ACGL,E_R,30,3,4.7108646945310335,3.2974368452848526,66.66666666666666
buy,ACGL,FVG1,30,5,4.049465277897134,2.9836689712353386,100.0
buy,ACGL,E_FVG1,30,1,0.19962327695572626,0.19962327695572626,100.0
buy,ACGL,E_FVG5,30,1,0.19962327695572626,0.19962327695572626,100.0
buy,ACGL,E_Fext,30,0,,,
buy,ACGL,E_OB,30,2,6.592855828562678,6.592855828562678,100.0
buy,ACGL,E_R_FVG1,30,0,,,
buy,ACGL,E_R_FVG5,30,0,,,
buy,ACGL,E_Q_FVG1,30,0,,,
buy,ACGL,E_FVG1_Fx,30,0,,,
buy,ACGL,FVG1_R,30,2,6.243663108019211,6.243663108019211,100.0
sell,ACGL,baseline,30,30,2.401059657494021,3.136273176424913,73.33333333333333
sell,ACGL,E,30,8,5.181074715005565,4.336792710042519,75.0
sell,ACGL,E_R,30,2,-1.8450612887610105,-1.8450612887610105,0.0
sell,ACGL,FVG1,30,1,-5.524678649568247,-5.524678649568247,0.0
sell,ACGL,E_FVG1,30,0,,,
sell,ACGL,E_FVG5,30,1,-0.76708630185288,-0.76708630185288,0.0
sell,ACGL,E_Fext,30,2,2.8132420072249094,2.8132420072249094,50.0
sell,ACGL,E_OB,30,5,4.895574201217564,3.6895992043213974,80.0
sell,ACGL,E_R_FVG1,30,0,,,
sell,ACGL,E_R_FVG5,30,1,-0.76708630185288,-0.76708630185288,0.0
sell,ACGL,E_Q_FVG1,30,0,,,
sell,ACGL,E_FVG1_Fx,30,0,,,
sell,ACGL,FVG1_R,30,0,,,
buy,ACGL,baseline,60,34,9.56616777249549,7.624857556261459,82.35294117647058
buy,ACGL,E,60,5,11.955748218868834,7.144453628925296,60.0
buy,ACGL,E_R,60,3,4.857830065835732,7.144453628925296,66.66666666666666
buy,ACGL,FVG1,60,5,7.870150991167103,5.050167290236999,80.0
buy,ACGL,E_FVG1,60,1,-4.158811218975403,-4.158811218975403,0.0
buy,ACGL,E_FVG5,60,1,-4.158811218975403,-4.158811218975403,0.0
buy,ACGL,E_Fext,60,0,,,
buy,ACGL,E_OB,60,2,2.71672691897648,2.71672691897648,50.0
buy,ACGL,E_R_FVG1,60,0,,,
buy,ACGL,E_R_FVG5,60,0,,,
buy,ACGL,E_Q_FVG1,60,0,,,
buy,ACGL,E_FVG1_Fx,60,0,,,
buy,ACGL,FVG1_R,60,2,13.522854484797143,13.522854484797143,100.0
sell,ACGL,baseline,60,30,-0.9616512701135914,1.1660968296370378,56.666666666666664
sell,ACGL,E,60,8,2.745303019775636,2.4493432733576133,62.5
sell,ACGL,E_R,60,2,-2.0764141503830853,-2.0764141503830853,50.0
sell,ACGL,FVG1,60,1,-10.617278722781338,-10.617278722781338,0.0
sell,ACGL,E_FVG1,60,0,,,
